source,period,model,week_start,n_opened,long_share,short_share,btc_week_ret,model_week_ret,avg_r
xsec,A,xsec_mom,2024-02-12,1,1.0,0.0,0.0797018657195252,0.005074827509987889,0.09599637405318613
xsec,A,xsec_mom,2024-02-19,1,1.0,0.0,-0.008085958841741125,-0.0011311395799147306,4.759375251790602
xsec,A,xsec_mom,2024-02-26,2,1.0,0.0,0.22038084599373442,0.038726587512355914,3.0107405061157904
xsec,A,xsec_mom,2024-03-04,1,1.0,0.0,0.09188101188044162,0.04114023805389144,0.4177010435081848
xsec,A,xsec_mom,2024-03-11,1,1.0,0.0,-0.007821870780316154,0.032866390605027496,0.6317700096629296
xsec,A,xsec_mom,2024-03-18,1,1.0,0.0,-0.017296121528935005,-0.015427292498768508,-0.46725389881541174
xsec,A,xsec_mom,2024-03-25,1,1.0,0.0,0.06106192320736881,0.013851971319746248,0.6134445327535099
xsec,A,xsec_mom,2024-04-01,2,1.0,0.0,-0.027581624026883578,-0.02521596155547501,-1.0131731091400593
xsec,A,xsec_mom,2024-04-08,3,1.0,0.0,-0.05336153292763979,-0.030609891716334436,-1.019086803539101
xsec,A,xsec_mom,2024-04-15,3,1.0,0.0,-0.0110186502267694,-0.0007701239343110844,-0.09688634861438135
xsec,A,xsec_mom,2024-04-22,1,1.0,0.0,-0.027917441124520548,0.005514087173353888,1.305015578430702
xsec,A,xsec_mom,2024-04-29,1,1.0,0.0,0.014019801980198032,-0.0065647577909457855,-1.017378057057992
xsec,A,xsec_mom,2024-05-06,1,1.0,0.0,-0.03965161693485386,-0.01590324850462954,-1.0281228865443781
xsec,A,xsec_mom,2024-05-13,1,1.0,0.0,0.07808933838062582,0.02620854136136752,1.411078375718801
xsec,A,xsec_mom,2024-05-20,1,1.0,0.0,0.033843753489396944,-0.0018356102245152828,-0.11628588416576602
xsec,A,xsec_mom,2024-05-27,2,1.0,0.0,-0.010920220506136724,-0.0014179527686224436,-1.014738085267144
xsec,A,xsec_mom,2024-06-03,0,,,0.02765804544696615,-0.022621980245101425,
xsec,A,xsec_mom,2024-06-10,3,1.0,0.0,-0.042490652085259706,-0.021415097305877984,-0.712553645449732
xsec,A,xsec_mom,2024-06-17,3,1.0,0.0,-0.05216242439875174,-0.031019554540884342,-1.0328147559163308
xsec,A,xsec_mom,2024-06-24,2,1.0,0.0,-0.006866675737851158,-0.02468715571849045,-1.0458808905281334
xsec,A,xsec_random,2021-12-27,0,,,-0.06830743170044717,0.0,
xsec,A,xsec_random,2022-01-03,3,1.0,0.0,-0.11524467718509712,-0.030489720499999984,-1.0164345458151303
xsec,A,xsec_random,2022-01-10,3,1.0,0.0,0.029130296607638106,0.033275701333087326,0.6729999045501707
xsec,A,xsec_random,2022-01-17,2,1.0,0.0,-0.1581276556223734,-0.03292814881619299,-1.0131531468855797
xsec,A,xsec_random,2022-01-24,3,1.0,0.0,0.04516721550197755,0.000116230647111637,-0.0013265759340218657
xsec,A,xsec_random,2022-01-31,3,1.0,0.0,0.1180801291946707,0.027873324920800746,0.9276406582810223
xsec,A,xsec_random,2022-02-07,3,1.0,0.0,-0.007259665196324816,0.007773040686116284,-0.04657612721423784
xsec,A,xsec_random,2022-02-14,2,1.0,0.0,-0.08734413446337086,-0.02002492751581475,-0.8271060958344204
xsec,A,xsec_random,2022-02-21,2,1.0,0.0,-0.018239362325635833,-0.026112466499751408,-1.0091836088296446
xsec,A,xsec_random,2022-02-28,3,1.0,0.0,0.019262761579546428,-0.0023119113379544975,-0.08094777947225927
xsec,A,xsec_random,2022-03-07,3,1.0,0.0,-0.01703748246141512,-0.012213878451957094,-0.41223441686918855
xsec,A,xsec_random,2022-03-14,3,1.0,0.0,0.09274697569966728,0.03885052982464976,1.5229264990833222
xsec,A,xsec_random,2022-03-21,2,1.0,0.0,0.13471875530135957,0.0504314455615138,2.1864257328121197
xsec,A,xsec_random,2022-03-28,3,1.0,0.0,-0.008878324032130402,0.005816045012215332,-0.13727999293227752
xsec,A,xsec_random,2022-04-04,2,1.0,0.0,-0.09177437497575747,-0.03055324225673317,-1.0146037897181335
xsec,A,xsec_random,2022-04-11,3,1.0,0.0,-0.058701269120442046,-0.017226662220285904,-0.5776179480381051
xsec,A,xsec_random,2022-04-18,3,1.0,0.0,-0.005517578617303176,-0.016196952015977817,-0.6367507929949688
xsec,A,xsec_random,2022-04-25,2,1.0,0.0,-0.02495798936998006,-0.017987889521898448,-0.7571231676153545
xsec,A,xsec_random,2022-05-02,3,1.0,0.0,-0.11487512217439222,-0.01778838050169884,-0.8347229496791804
xsec,A,xsec_random,2022-05-09,1,1.0,0.0,-0.08016058548504568,-0.017731917471059067,-1.0141517232701358
xsec,A,xsec_random,2022-05-16,3,1.0,0.0,-0.0326427401511451,-0.009683064119721974,-0.5458460771502393
xsec,A,xsec_random,2022-05-23,2,1.0,0.0,-0.02744360281862135,-0.027027586255236824,-1.0137241789685971
xsec,A,xsec_random,2022-05-30,3,1.0,0.0,0.0155054807072319,0.010763780898155995,0.35128193771234484
xsec,A,xsec_random,2022-06-06,3,1.0,0.0,-0.11172006322705275,-0.03063314446423604,-1.0140230335502622
xsec,A,xsec_random,2022-06-13,3,1.0,0.0,-0.22609176548486132,-0.008877196056615633,-0.2976893154973759
xsec,A,xsec_random,2022-06-20,3,1.0,0.0,0.022701751486308375,0.016490691838106253,0.5463842960941527
