source,period,model,symbol,direction,opened_at,closed_at,r,pnl,coin_ret,btc_ret,aligned_btc,aligned_coin
live-scalp,live,vwap_clone,ETH-USDT-SWAP,short,2026-09-19T19:15:00+00:00,2026-09-19T21:30:00+00:00,0.3924648128538801,3.2790696574000004,-0.0048518644967945335,-0.004702843456878658,aligned,aligned
live-scalp,live,vwap_clone,SOL-USDT-SWAP,short,2026-09-19T19:45:00+00:00,2026-09-19T21:30:00+00:00,0.6094691115051664,7.7133191436,-0.007558715018446738,-0.004258667322350584,aligned,aligned
live-scalp,live,vwap_clone,BTC-USDT-SWAP,short,2026-09-19T21:15:00+00:00,2026-09-19T22:30:00+00:00,-1.7625542192804449,-16.97354884,0.002160613411844148,0.002160613411844148,misaligned,misaligned
live-scalp,live,vwap_clone,ETH-USDT-SWAP,short,2026-09-19T21:45:00+00:00,2026-09-19T23:00:00+00:00,-1.542166685434243,-20.87014618,0.0032132305911736214,0.0023091127308341175,misaligned,misaligned
live-scalp,live,vwap_clone,SOL-USDT-SWAP,short,2026-09-19T21:45:00+00:00,2026-09-19T21:45:00+00:00,-1.5428183236816393,-20.84285426,0.0,0.0,neutral,neutral
live-scalp,live,vwap_clone,SOL-USDT-SWAP,short,2026-09-19T22:15:00+00:00,2026-09-19T22:30:00+00:00,-1.5836909991553134,-19.83576923,0.003902350485525119,0.002144537906373145,misaligned,misaligned
live-scalp,live,vwap_clone,ETHFI-USDT-SWAP,short,2026-09-19T23:00:00+00:00,2026-09-19T23:00:00+00:00,-1.389702145660216,-25.90365004,0.0,0.0,neutral,neutral
live-scalp,live,vwap_clone,ADA-USDT-SWAP,short,2026-09-19T23:15:00+00:00,2026-09-20T00:30:00+00:00,-1.3347211021180905,-27.67652012,0.007912087912087973,0.0002829832338586691,misaligned,misaligned
live-scalp,live,vwap_clone,XRP-USDT-SWAP,short,2026-09-19T23:15:00+00:00,2026-09-20T15:45:00+00:00,1.396144974099696,38.1485667,-0.015439093484419186,-0.004975583468365463,aligned,aligned
live-scalp,live,vwap_clone,ETH-USDT-SWAP,short,2026-09-19T23:30:00+00:00,2026-09-20T01:45:00+00:00,0.8061937327941684,7.96770013,-0.005755876423307438,-0.0020382165605096203,aligned,aligned
live-scalp,live,vwap_clone,NEAR-USDT-SWAP,short,2026-09-20T00:45:00+00:00,2026-09-20T01:00:00+00:00,-1.3924896811347718,-25.50827733,0.0022541561003099897,-0.0019493225365805333,aligned,misaligned
live-scalp,live,vwap_clone,BTC-USDT-SWAP,short,2026-09-20T01:15:00+00:00,2026-09-20T05:00:00+00:00,1.2296141195219794,6.120452016,-0.006508961846483197,-0.006508961846483197,aligned,aligned
live-scalp,live,vwap_clone,SOL-USDT-SWAP,short,2026-09-20T02:00:00+00:00,2026-09-20T02:15:00+00:00,-1.7637455326755531,-16.55465977,-0.006428830134009411,-0.002213600082825229,aligned,aligned
live-scalp,live,vwap_clone,ETH-USDT-SWAP,short,2026-09-20T02:30:00+00:00,2026-09-20T02:45:00+00:00,0.8903906957746659,8.171462769,-0.005895420039019439,-0.002870505678312152,aligned,aligned
live-scalp,live,vwap_clone,ETH-USDT-SWAP,short,2026-09-20T03:00:00+00:00,2026-09-20T15:00:00+00:00,-1.3520263411988946,-27.35613013,0.008403230756679037,0.0062215706879380495,misaligned,misaligned
live-scalp,live,vwap_clone,BTC-USDT-SWAP,short,2026-09-20T05:30:00+00:00,2026-09-20T15:45:00+00:00,-1.4519915688207403,-22.25638239,0.0045549513202776115,0.0045549513202776115,misaligned,misaligned
live-scalp,live,vwap_clone,BNB-USDT-SWAP,long,2026-09-20T08:15:00+00:00,2026-09-20T09:30:00+00:00,0.5000464751997905,3.4650914497,0.0033346672002134703,0.002151827684526264,aligned,aligned
