bar,symbol,ts,open,close
4H,XRP-USDT-SWAP,2024-06-06T00:00:00+00:00,0.5259,0.5258
4H,XRP-USDT-SWAP,2024-06-06T12:00:00+00:00,0.5264,0.5267
4H,XRP-USDT-SWAP,2024-06-06T16:00:00+00:00,0.5267,0.52
4H,XRP-USDT-SWAP,2024-06-06T20:00:00+00:00,0.52,0.5215
4H,XRP-USDT-SWAP,2024-06-07T08:00:00+00:00,0.5253,0.5274
4H,XRP-USDT-SWAP,2024-06-07T16:00:00+00:00,0.5242,0.4929
4H,XRP-USDT-SWAP,2024-06-07T20:00:00+00:00,0.4929,0.499
4H,XRP-USDT-SWAP,2024-06-09T08:00:00+00:00,0.4939,0.4944
4H,XRP-USDT-SWAP,2024-06-09T16:00:00+00:00,0.4951,0.4976
4H,XRP-USDT-SWAP,2024-06-10T00:00:00+00:00,0.4986,0.5009
4H,XRP-USDT-SWAP,2024-06-16T08:00:00+00:00,0.4886,0.4963
4H,XRP-USDT-SWAP,2024-06-17T04:00:00+00:00,0.4892,0.4992
4H,XRP-USDT-SWAP,2024-06-17T12:00:00+00:00,0.4988,0.5094
4H,XRP-USDT-SWAP,2024-06-17T16:00:00+00:00,0.5094,0.518
4H,XRP-USDT-SWAP,2024-06-18T00:00:00+00:00,0.5046,0.49
4H,XRP-USDT-SWAP,2024-06-18T04:00:00+00:00,0.49,0.5007
4H,XRP-USDT-SWAP,2024-06-18T08:00:00+00:00,0.5008,0.496
4H,XRP-USDT-SWAP,2024-06-18T16:00:00+00:00,0.4848,0.4823
4H,XRP-USDT-SWAP,2024-06-19T12:00:00+00:00,0.4924,0.4925
4H,XRP-USDT-SWAP,2024-06-19T16:00:00+00:00,0.4925,0.4961
4H,XRP-USDT-SWAP,2024-06-20T08:00:00+00:00,0.4996,0.5008
4H,XRP-USDT-SWAP,2024-06-20T12:00:00+00:00,0.5009,0.4923
4H,XRP-USDT-SWAP,2024-06-20T16:00:00+00:00,0.4922,0.4912
4H,XRP-USDT-SWAP,2024-06-21T08:00:00+00:00,0.4906,0.4941
4H,XRP-USDT-SWAP,2024-06-21T12:00:00+00:00,0.4941,0.4856
4H,XRP-USDT-SWAP,2024-06-22T00:00:00+00:00,0.489,0.4872
4H,XRP-USDT-SWAP,2024-06-22T08:00:00+00:00,0.4865,0.4858
4H,XRP-USDT-SWAP,2024-06-23T20:00:00+00:00,0.4822,0.4798
4H,XRP-USDT-SWAP,2024-06-24T00:00:00+00:00,0.4798,0.4758
4H,XRP-USDT-SWAP,2024-06-24T04:00:00+00:00,0.4759,0.4737
4H,XRP-USDT-SWAP,2024-06-24T08:00:00+00:00,0.4738,0.4756
4H,XRP-USDT-SWAP,2024-06-24T16:00:00+00:00,0.473,0.467
4H,XRP-USDT-SWAP,2024-06-25T08:00:00+00:00,0.4763,0.4765
4H,XRP-USDT-SWAP,2024-06-27T12:00:00+00:00,0.4704,0.4723
4H,XRP-USDT-SWAP,2024-06-28T08:00:00+00:00,0.4778,0.48
4H,XRP-USDT-SWAP,2024-06-30T00:00:00+00:00,0.4725,0.4715
4H,XRP-USDT-SWAP,2024-06-30T04:00:00+00:00,0.4715,0.4746
4H,XRP-USDT-SWAP,2024-07-01T00:00:00+00:00,0.476,0.4784
4H,XRP-USDT-SWAP,2024-07-04T00:00:00+00:00,0.467,0.4596
4H,XRP-USDT-SWAP,2024-07-22T12:00:00+00:00,0.6111,0.6104
4H,XRP-USDT-SWAP,2024-07-22T20:00:00+00:00,0.6186,0.6079
4H,XRP-USDT-SWAP,2024-07-23T00:00:00+00:00,0.6079,0.6144
4H,XRP-USDT-SWAP,2024-07-23T04:00:00+00:00,0.6143,0.6001
4H,XRP-USDT-SWAP,2024-07-23T08:00:00+00:00,0.6001,0.5963
4H,XRP-USDT-SWAP,2024-07-23T12:00:00+00:00,0.5963,0.6006
4H,XRP-USDT-SWAP,2024-07-24T12:00:00+00:00,0.6287,0.6238
4H,XRP-USDT-SWAP,2024-07-24T20:00:00+00:00,0.623,0.618
4H,XRP-USDT-SWAP,2024-07-25T00:00:00+00:00,0.6181,0.606
4H,XRP-USDT-SWAP,2024-07-25T04:00:00+00:00,0.6059,0.6089
4H,XRP-USDT-SWAP,2024-07-25T08:00:00+00:00,0.6089,0.6106
4H,XRP-USDT-SWAP,2024-07-30T12:00:00+00:00,0.6295,0.6183
4H,XRP-USDT-SWAP,2024-07-30T16:00:00+00:00,0.6183,0.6288
4H,XRP-USDT-SWAP,2024-07-30T20:00:00+00:00,0.6289,0.6276
4H,XRP-USDT-SWAP,2024-07-31T00:00:00+00:00,0.6276,0.6494
4H,XRP-USDT-SWAP,2024-07-31T04:00:00+00:00,0.6494,0.6464
4H,XRP-USDT-SWAP,2024-07-31T12:00:00+00:00,0.6497,0.6521
4H,XRP-USDT-SWAP,2024-07-31T16:00:00+00:00,0.652,0.6337
4H,XRP-USDT-SWAP,2024-08-01T00:00:00+00:00,0.6233,0.6114
4H,XRP-USDT-SWAP,2024-08-01T04:00:00+00:00,0.6115,0.6086
4H,XRP-USDT-SWAP,2024-08-01T08:00:00+00:00,0.6086,0.61
4H,XRP-USDT-SWAP,2024-08-01T16:00:00+00:00,0.5856,0.5821
4H,XRP-USDT-SWAP,2024-08-01T20:00:00+00:00,0.5822,0.5963
4H,XRP-USDT-SWAP,2024-08-02T04:00:00+00:00,0.5875,0.5726
4H,XRP-USDT-SWAP,2024-08-04T08:00:00+00:00,0.5477,0.5439
4H,XRP-USDT-SWAP,2024-08-04T16:00:00+00:00,0.5287,0.5358
4H,XRP-USDT-SWAP,2024-08-04T20:00:00+00:00,0.5357,0.5228
4H,XRP-USDT-SWAP,2024-08-05T00:00:00+00:00,0.5227,0.4732
4H,XRP-USDT-SWAP,2024-08-08T20:00:00+00:00,0.6216,0.6166
4H,XRP-USDT-SWAP,2024-08-09T00:00:00+00:00,0.6167,0.6149
4H,XRP-USDT-SWAP,2024-08-09T12:00:00+00:00,0.5869,0.5731
4H,XRP-USDT-SWAP,2024-08-18T16:00:00+00:00,0.5734,0.5724
4H,XRP-USDT-SWAP,2024-08-18T20:00:00+00:00,0.5725,0.563
4H,XRP-USDT-SWAP,2024-08-19T12:00:00+00:00,0.5854,0.5794
4H,XRP-USDT-SWAP,2024-08-19T16:00:00+00:00,0.5794,0.6022
4H,XRP-USDT-SWAP,2024-08-19T20:00:00+00:00,0.6022,0.5982
4H,XRP-USDT-SWAP,2024-08-20T04:00:00+00:00,0.6081,0.607
4H,XRP-USDT-SWAP,2024-08-20T08:00:00+00:00,0.607,0.6088
4H,XRP-USDT-SWAP,2024-08-20T12:00:00+00:00,0.6089,0.5896
4H,XRP-USDT-SWAP,2024-08-24T00:00:00+00:00,0.611,0.6081
4H,XRP-USDT-SWAP,2024-08-24T04:00:00+00:00,0.608,0.6086
4H,XRP-USDT-SWAP,2024-08-24T16:00:00+00:00,0.6198,0.6198
4H,XRP-USDT-SWAP,2024-09-16T00:00:00+00:00,0.5707,0.5684
4H,XRP-USDT-SWAP,2024-09-21T20:00:00+00:00,0.6001,0.5976
4H,XRP-USDT-SWAP,2024-09-22T00:00:00+00:00,0.5977,0.5988
4H,XRP-USDT-SWAP,2024-09-22T04:00:00+00:00,0.5988,0.5959
4H,XRP-USDT-SWAP,2024-09-23T00:00:00+00:00,0.5871,0.5936
4H,XRP-USDT-SWAP,2024-09-28T08:00:00+00:00,0.6078,0.6169
4H,XRP-USDT-SWAP,2024-09-28T12:00:00+00:00,0.617,0.6177
4H,XRP-USDT-SWAP,2024-09-29T08:00:00+00:00,0.6284,0.6244
4H,XRP-USDT-SWAP,2024-09-29T16:00:00+00:00,0.6596,0.6525
4H,XRP-USDT-SWAP,2024-10-07T00:00:00+00:00,0.5337,0.5407
4H,XRP-USDT-SWAP,2024-10-09T20:00:00+00:00,0.5301,0.5244
4H,XRP-USDT-SWAP,2024-10-14T00:00:00+00:00,0.5318,0.5383
4H,XRP-USDT-SWAP,2024-10-16T16:00:00+00:00,0.5479,0.5527
4H,XRP-USDT-SWAP,2024-10-19T04:00:00+00:00,0.5477,0.5461
4H,XRP-USDT-SWAP,2024-10-20T00:00:00+00:00,0.5441,0.543
4H,XRP-USDT-SWAP,2024-10-20T08:00:00+00:00,0.5405,0.541
4H,XRP-USDT-SWAP,2024-10-22T12:00:00+00:00,0.534,0.5336
4H,XRP-USDT-SWAP,2024-10-22T16:00:00+00:00,0.5336,0.5341
4H,XRP-USDT-SWAP,2024-10-23T20:00:00+00:00,0.5219,0.5258
4H,XRP-USDT-SWAP,2024-10-26T00:00:00+00:00,0.502,0.512
4H,XRP-USDT-SWAP,2024-10-26T04:00:00+00:00,0.5121,0.5142
4H,XRP-USDT-SWAP,2024-10-28T00:00:00+00:00,0.5169,0.5132
4H,XRP-USDT-SWAP,2024-10-30T08:00:00+00:00,0.5236,0.5208
4H,XRP-USDT-SWAP,2024-10-30T12:00:00+00:00,0.5208,0.5234
4H,XRP-USDT-SWAP,2024-10-31T12:00:00+00:00,0.5186,0.5109
4H,XRP-USDT-SWAP,2024-10-31T16:00:00+00:00,0.5108,0.5062
4H,XRP-USDT-SWAP,2024-10-31T20:00:00+00:00,0.5061,0.5095
4H,XRP-USDT-SWAP,2024-11-01T04:00:00+00:00,0.5193,0.5119
4H,XRP-USDT-SWAP,2024-11-02T12:00:00+00:00,0.5112,0.5104
4H,XRP-USDT-SWAP,2024-11-03T00:00:00+00:00,0.5102,0.5019
4H,XRP-USDT-SWAP,2024-11-03T12:00:00+00:00,0.5026,0.497
4H,XRP-USDT-SWAP,2024-11-04T00:00:00+00:00,0.5029,0.5073
4H,XRP-USDT-SWAP,2024-11-05T12:00:00+00:00,0.5092,0.5097
4H,XRP-USDT-SWAP,2024-11-05T20:00:00+00:00,0.5079,0.514
4H,XRP-USDT-SWAP,2024-11-06T00:00:00+00:00,0.5141,0.534
4H,XRP-USDT-SWAP,2024-11-06T04:00:00+00:00,0.5341,0.5365
4H,XRP-USDT-SWAP,2024-11-06T16:00:00+00:00,0.5306,0.5362
4H,XRP-USDT-SWAP,2024-11-06T20:00:00+00:00,0.5363,0.542
4H,XRP-USDT-SWAP,2024-11-07T00:00:00+00:00,0.5419,0.5598
4H,XRP-USDT-SWAP,2024-11-12T12:00:00+00:00,0.6475,0.6787
