period,symbol,model,first_bar,last_bar,bars,years,trades,win_rate_pct,profit_factor,avg_r,avg_win_pct,avg_loss_pct,payoff,max_drawdown_pct,account_max_drawdown_pct,total_return_pct,buy_hold_pct,cost_pct,cost_per_r,fees,slippage_cost,funding,avg_stop_distance_pct,median_hold_bars,max_hold_bars
B,SOL-USDT-SWAP,ema_trend,2024-07-21T16:00:00+00:00,2026-09-18T08:00:00+00:00,4733,2.16,33,54.54545454545454,2.203568282399627,0.5759687383255262,6.143336536396319,-3.663798430643998,1.6767670636608916,-3.842118466000002,-3.9384018162926804,20.4314439,-39.75491593046452,0.1716038126022246,0.05536779864800663,179.20400722500008,23.893890199799998,-10.7508581429,3.32014961822303,9.0,50.0
B,SOL-USDT-SWAP,trend,2024-07-21T16:00:00+00:00,2026-09-18T08:00:00+00:00,4733,2.16,161,29.19254658385093,0.6485994704323098,-0.09472115023969405,2.736560377724922,-1.7439593352053078,1.5691652451304205,-18.596090641242995,-18.884474846835573,-14.423429870000003,-39.75491593046452,0.2335270853937608,0.053819152696020466,509.62125751140013,283.4370052636,-2.78689943191,4.944455469952728,1.0,11.0
B,XRP-USDT-SWAP,ema_trend,2024-07-21T16:00:00+00:00,2026-09-18T08:00:00+00:00,4733,2.16,44,38.63636363636363,1.1490009755322508,0.0960172334909946,4.621469821638307,-3.7373043602036984,1.236578393467108,-6.756031652,-6.821517909198171,3.838253100000011,124.99574902227515,0.17033217936031803,0.06124880052436394,241.52408787200008,32.20321831930001,-2.6652430814,3.1270890780192797,5.0,32.0
B,XRP-USDT-SWAP,trend,2024-07-21T16:00:00+00:00,2026-09-18T08:00:00+00:00,4733,2.16,155,32.903225806451616,0.8959643675977557,-0.02554045546111212,3.801891721771513,-1.6239973524736937,2.341070147670144,-12.220805513656002,-11.576919335878111,-4.1744812199999926,124.99574902227515,0.25581599480484535,0.06474106338060986,596.3031982400001,419.0330750804,-1.3586393247800002,4.7245729066717645,1.0,8.0
B,DOGE-USDT-SWAP,ema_trend,2024-07-21T16:00:00+00:00,2026-09-18T08:00:00+00:00,4733,2.16,35,40.0,1.2219453157337767,0.14049189225769843,5.870986715500067,-3.3524980057633575,1.7512275042094332,-9.217122444,-8.156566995054282,4.6457105,-35.14253135689852,0.17043307106768052,0.05900849185435072,195.36955161100002,26.0492804274,-1.9643250244000001,3.128662808120937,5.0,16.0
B,DOGE-USDT-SWAP,trend,2024-07-21T16:00:00+00:00,2026-09-18T08:00:00+00:00,4733,2.16,145,36.55172413793103,0.9802938246083119,-0.0044458386798541995,3.353162998199103,-1.9671153237827657,1.7046092609105223,-9.36949714985,-9.135115352193724,-0.9383363699999925,-35.14253135689852,0.25348181887075266,0.050803233265940065,446.943209959,307.2947902679,0.5379130593700001,5.597343289640438,1.0,7.0
B,BNB-USDT-SWAP,ema_trend,2024-07-21T16:00:00+00:00,2026-09-18T08:00:00+00:00,4733,2.16,41,43.90243902439025,1.3694870950328057,0.22588487669449772,4.194222390278204,-2.1490520588674134,1.9516616049257691,-8.040805337000002,-8.726930630738872,10.026278999999994,25.02086463027875,0.17046772645342836,0.09083061117965602,348.359127419,46.4478968642,-6.0390467809,2.077458348550374,8.0,80.0
B,BNB-USDT-SWAP,trend,2024-07-21T16:00:00+00:00,2026-09-18T08:00:00+00:00,4733,2.16,156,36.53846153846153,0.7957382600761179,-0.0553817629136457,1.7399872557165914,-1.3014237872046774,1.3369874385452125,-14.6808188215726,-14.79552996526765,-8.549596290000006,25.02086463027875,0.2168918895003167,0.08310986630480378,839.4421319049995,373.4299764117,-2.93048151535,3.0632781112090273,1.0,10.0
B,AVAX-USDT-SWAP,ema_trend,2024-07-21T16:00:00+00:00,2026-09-18T08:00:00+00:00,4733,2.16,46,23.91304347826087,0.5801345882871232,-0.33483117050202066,6.343965947163904,-3.7076016361546706,1.7110700042045324,-17.6857812422,-17.848721493773812,-14.653470429999993,-74.3822182076263,0.1691787003286174,0.05117410111756057,194.820812208,25.976095943699995,-5.57688417019,3.480350206551935,5.5,65.0
B,AVAX-USDT-SWAP,trend,2024-07-21T16:00:00+00:00,2026-09-18T08:00:00+00:00,4733,2.16,158,34.177215189873415,0.94523897783363,-0.012270177112938875,3.4351899635124106,-1.8457199378375633,1.8611653334238036,-9.389933230391998,-9.136374097491073,-2.2549474799999913,-74.3822182076263,0.2523486453903115,0.04999116846766942,477.8631906750001,325.3711295402,-4.678033312199999,5.527336386230425,1.0,9.0
